SECURITIES;ERROR CODE;NUM FLDS;ID_ISIN;CRNCY;PX_CLOSE_DT;PX_LAST;AMT_OUTSTANDING;SP_EFF_DT;RTG_SP;RTG_SP_LT_LC_ISS_CRED_RTG_DT;RTG_SP_LT_LC_ISSUER_CREDIT;FITCH_EFF_DT;RTG_FITCH_LT_ISSUER_DFLT_RTG_DT;RTG_FITCH;RTG_FITCH_LT_ISSUER_DEFAULT;RTG_FITCH_SEN_UNSEC_RTG_DT;RTG_FITCH_SEN_UNSECURED;MOODY_EFF_DT;RTG_MOODY_LONG_TERM_DATE;RTG_MOODY;RTG_MOODY_LONG_TERM;RTG_MDY_ISSUER_RTG_DT;RTG_MDY_ISSUER;RTG_MDY_SEN_UNSECURED_DEBT;PX_BID;PX_ASK;PREV_CPN_DT;MTG_FACTOR_SET_DT;DAYS_ACC;DUR_ADJ_ASK;DUR_ADJ_BID;DUR_ADJ_MID;OAS_SPREAD_MID;OAS_SPREAD_BID;OAS_SPREAD_ASK;MTG_LIFE_FLOOR;MTG_LIFE_CAP;DEFAULT_PERCENT;MTG_WACPN;NXT_CPN_DT;CPN;PX_YEST_CLOSE;YLD_YTM_MID;PX_YEST_DT;HIGH_52WEEK;HIGH_DT_52WEEK;LOW_52WEEK;LOW_DT_52WEEK;CV_START_DT;CV_CNVS_PX;YLD_YTM_BID;YLD_YTM_ASK;PREVIOUS_TOTAL_VOLUME;CUR_MKT_CAP;PX_VOLUME;TURNOVER;VOLATILITY_30D;VOLATILITY_90D;VOLATILITY_360D;EQY_FLOAT;EQY_SH_OUT;REL_INDEX;ROBECOSAM_TOTAL_STBLY_RANK;ENVIRONMENTAL_SCORE;SOCIAL_SCORE;GOVERNANCE_SCORE;EARN_YLD_HIST;BDVD_NEXT_EST_EX_DT;BDVD_PROJ_DIV_AMT;DVD_SH_LAST;FUND_TOTAL_ASSETS;FUND_CLASS_ASSETS
MSAIOPZ LX Equity;0;17;LU1378878604;USD;04/05/2023;48.910000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.910000  ;;04/05/2023;55.350000  ;23/01/2023;38.600000  ;24/10/2022;;;;;N.A.;;0  ;;17.859  ;21.410  ;32.261  ;;;;;;;;;;;;4783.7810  ;1109.566  
MSE FP Equity;0;17;FR0007054358;EUR;04/05/2023;44.340000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.340000  ;;04/05/2023;45.350000  ;24/04/2023;33.120000  ;29/09/2022;;;;;39216  ;;39216  ;;11.109  ;16.675  ;21.717  ;;;;;;;;;;;;2495.5960  ;2433.475  
MSGBAHX LX Equity;0;17;LU0552899998;EUR;04/05/2023;61.640000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61.640000  ;;04/05/2023;63.540000  ;16/08/2022;51.640000  ;13/10/2022;;;;;N.A.;;0  ;;10.768  ;14.514  ;20.666  ;;;;;;;;;;;;22005.5300  ;92.330  
MSIEXUI LX Equity;0;17;LU1121076738;USD;04/05/2023;34.680000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.680000  ;;04/05/2023;35.010000  ;24/04/2023;25.470000  ;13/10/2022;;;;;N.A.;;0  ;;11.579  ;15.565  ;20.744  ;;;;;;;;;;;;92.0664  ;53.342  
MSJD GR Equity;0;17;LU0119620416;EUR;04/05/2023;173.106000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;173.106000  ;;04/05/2023;190.580000  ;19/08/2022;160.990000  ;16/06/2022;;;;;22  ;;22  ;;11.936  ;12.159  ;18.127  ;;;;;;;;;;;;22005.5300  ;N.A.
MUESTAH ID Equity;0;17;IE00BF5LK023;USD;04/05/2023;111.880000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;111.880000  ;;04/05/2023;112.540000  ;09/02/2023;107.100000  ;13/10/2022;;;;;N.A.;;0  ;;1.548  ;2.335  ;2.092  ;;;;;;;;;;;;10191.2266  ;88.743  
MUESTIH ID Equity;0;17;IE00BF5LK130;USD;04/05/2023;96.160000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96.160000  ;;04/05/2023;97.950000  ;31/05/2022;93.630000  ;13/10/2022;;;;;N.A.;;0  ;;1.555  ;2.350  ;2.809  ;;;;;;;;;;;;10191.2266  ;26.134  
MUGELSC LX Equity;0;17;LU0411702557;CHF;31/03/2023;6046.700000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6046.700000  ;;31/03/2023;6134.190000  ;31/05/2022;5966.500000  ;31/10/2022;;;;;N.A.;;0  ;;N.A.;N.A.;N.A.;;;;;;;;;;;;77.3184  ;.227  
MUHDGIH ID Equity;0;17;IE00BFFW8341;EUR;04/05/2023;86.130000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86.130000  ;;04/05/2023;89.920000  ;05/05/2022;85.100000  ;21/10/2022;;;;;N.A.;;0  ;;1.504  ;2.309  ;2.814  ;;;;;;;;;;;;10191.2266  ;74.870  
MUZEHAH ID Equity;0;17;IE00BYXHR262;EUR;04/05/2023;100.010000  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100.010000  ;;04/05/2023;101.120000  ;09/02/2023;97.190000  ;21/10/2022;;;;;N.A.;;0  ;;1.543  ;2.311  ;2.050  ;;;;;;;;;;;;10191.2266  ;1914.959  
